Index,PedSpeed,EgoSpeed,PedDist,Fitness_Min distance_LoFi,Fitness_Velocity at min distance_LoFi,Fitness_Min distance_HiFi,Fitness_Velocity at min distance_HiFi,Critical_LoFi,Critical_HiFi
290,3.83548379,6.80437766,7.32443916,1.93763077,-6.72994934,1.00978922,-5.79510883,0,0
292,3.86108228,7.89856554,19.56180298,14.29117631,-5.89998511,2.05507275,-7.14955682,0,0
294,3.89551072,3.36849511,15.46805429,10.68802043,-3.38973715,2.30335333,-4.69097972,0,0
295,3.92197707,7.92682221,18.26005411,12.65094789,-6.55487560,3.41031807,-7.16555954,0,0
297,3.94666129,3.04817100,5.94065812,1.44948264,-2.57001765,4.63803781,-5.38613181,0,0
299,3.96594135,3.22137477,13.31287043,5.53751802,-1.63120061,3.08750836,-1.85553567,0,0
8,0.45207063,3.48582391,16.00470198,2.02594784,-3.50000956,0.38986605,-5.96457549,0,1
9,0.45841415,3.22817692,14.01101717,2.17748690,-3.25498870,0.72112789,-6.48038702,0,1
11,0.46249445,7.63651450,12.88017014,3.08412845,-7.19025394,0.25827731,-3.24507036,0,1
12,0.47188246,6.25370250,5.21505780,3.58282177,-6.24998703,0.88336708,-4.02914268,0,1
17,0.50205761,4.42587994,5.18311508,3.55508429,-4.44999332,0.15127709,-6.47564317,0,1
19,0.51431880,3.27020448,10.65140455,2.56666055,-3.28494424,0.59047017,-3.46520774,0,1
29,0.68536240,3.29539451,5.08361044,3.52954549,-3.30010671,0.21854572,-7.47927790,0,1
37,0.80426768,3.93873337,19.35788985,3.36013670,-3.95498908,0.11563819,-6.50686068,0,1
39,0.85985349,6.47031290,5.59621949,3.50772763,-6.46497296,0.94330657,-4.80267898,0,1
44,0.96286850,5.40456570,11.69613355,2.21294122,-5.40441358,0.12615494,-5.36119532,0,1
49,1.00487153,5.34149033,5.05241352,3.55278925,-5.33342437,0.96327403,-7.38722925,0,1
54,1.04960900,6.36939164,11.21211418,2.45847050,-6.37999833,0.48259525,-3.66307456,0,1
57,1.08769757,6.15699946,11.57258669,2.25791202,-6.12999152,0.70525737,-5.68327851,0,1
59,1.11714633,4.16061621,8.54887536,2.45933975,-4.16499168,0.37749466,-3.55393645,0,1
65,1.14805702,5.60998474,11.32434607,2.10955556,-5.59999085,0.50539989,-6.00742964,0,1
68,1.17480664,6.45825983,15.90689995,1.37295151,-4.50133026,0.15084815,-6.85314473,0,1
71,1.19582061,8.26724818,13.23491389,2.21757285,-7.09615876,0.89853137,-5.64151196,0,1
76,1.24600127,3.69695273,11.34122368,0.02213292,-0.00000000,0.33278503,-4.44936685,0,1
78,1.27055616,5.42585501,15.67920263,0.98145945,-0.00000000,0.02195378,-6.71387145,0,1
80,1.29098396,5.61917608,17.66469078,2.65544933,-0.00000000,0.67764345,-4.90445808,0,1
98,1.55088324,6.13901190,5.50000918,3.38094727,-6.14919711,0.42433232,-2.76990529,0,1
100,1.55551745,5.16197598,14.73105830,2.25552394,-0.00000000,0.33301265,-3.72912081,0,1
106,1.62039179,6.50928311,12.17733321,1.59599530,-5.95073068,0.71592946,-7.27961214,0,1
108,1.62992500,6.65936355,16.64882519,0.95106398,-0.44025531,0.76973131,-5.14192356,0,1
109,1.63838947,5.87248065,6.44428300,3.01629722,-5.90493858,0.93476489,-3.13064165,0,1
110,1.64214343,7.70945681,9.94616350,2.39341119,-7.02825226,0.79370094,-6.85481035,0,1
116,1.70607986,5.78974098,7.87900097,2.54724649,-5.77498374,0.95418340,-3.80104648,0,1
120,1.76701786,5.67266203,15.77891199,2.70431491,-0.22003096,0.13902144,-6.38697605,0,1
121,1.78215603,6.60482747,8.18679142,2.57469140,-6.63999690,0.75677254,-2.91537991,0,1
125,1.85762900,7.84822399,14.54093231,1.01700813,-5.91996232,0.77442674,-5.39632000,0,1
127,1.90376572,4.78227182,16.22644750,4.63069804,-0.24951639,0.66426904,-6.17933544,0,1
128,1.90903438,4.49350502,13.85236756,3.49736818,-0.00000000,0.23537100,-4.95250592,0,1
129,1.92129532,5.41725392,17.34288675,10.40102376,-5.41000471,0.06679272,-7.45500923,0,1
131,1.95456403,8.22754477,18.52298177,11.35161038,-7.04996009,0.99334974,-4.29935868,0,1
139,2.04507123,3.16933233,13.91764791,4.68579910,-0.37563550,0.07380686,-6.57768170,0,1
155,2.20561820,7.14941379,8.99021868,2.10196091,-7.00987265,0.09073221,-4.39332213,0,1
163,2.31836943,7.70621926,17.51594845,2.38185289,-1.30158024,0.78934091,-6.53574004,0,1
172,2.43980111,7.88547829,8.92317189,2.10946218,-7.01878973,0.99467379,-3.63031143,0,1
173,2.44429800,4.68373708,8.84673644,1.02679533,-3.40001121,0.58709084,-5.57420985,0,1
181,2.59504856,7.69694510,19.30021062,13.19132382,-6.35219740,0.85067930,-5.47165591,0,1
