Index,goal_center_x,goal_center_y,goal_velocity_min,goal_velocity_max,num_npc,lane_count,npc_x0,npc_v_max,npc_seed,cutin_tx,cutin_delay,Fitness_Min distance to obstacle_LoFi,Fitness_Distance to goal_LoFi,Fitness_Min distance to obstacle_HiFi,Fitness_Distance to goal_HiFi,Critical_LoFi,Critical_HiFi
57,158.29983729,0.32786922,10.58857574,23.58268783,1.45912991,2.89006994,10.32334701,18.44597299,68.17779531,0.91181324,0.40601672,2.29460497,0.00000000,3.07502354,0.00000000,0,0
58,156.93436259,0.32763308,10.67243136,23.58146143,1.45916957,2.06988504,9.37263169,18.44597299,45.46423222,0.91181324,0.41114574,1.32338276,0.00000000,0.66197100,1.82513047,0,1
59,156.93456075,0.32763134,10.61000991,23.58271779,1.45396994,2.07492364,9.38978064,18.44806737,56.40446907,0.91181324,0.40615151,1.32449516,0.00000000,1.73167492,0.00000000,0,0
60,158.33266326,0.29638706,10.28222640,22.61771112,1.58718934,2.90252540,9.06207508,18.44598906,55.63043091,0.91065663,0.11149268,1.46233678,0.00000000,0.40921312,1.58242947,0,1
61,158.29700790,0.32935208,10.63411084,23.09460345,1.58718934,2.89272794,9.05803560,19.17462895,66.26677844,0.97084511,0.11396742,0.98415850,1.69426233,0.58241380,11.28033037,1,1
62,156.92489158,0.32786922,10.61001885,23.58268783,1.45912991,2.06209206,9.38501932,18.44597299,33.59650799,0.91181324,0.40595037,0.95592827,1.78347330,0.84643329,0.00000000,1,0
63,158.32898600,0.29644477,10.27869912,23.60563143,1.58531424,2.89272794,9.06207508,18.44223458,66.26677844,0.91180710,0.11149268,0.69973572,1.89744134,0.61895488,0.00000000,1,0
64,156.92404367,0.32786922,10.61027237,23.58612516,1.45912991,2.06482405,9.35894422,18.44221851,66.80152324,0.91181324,0.40554275,1.38347921,0.00000000,1.76088768,0.00000000,0,0
65,156.97002098,0.29466804,10.30068169,23.58268783,1.45912991,2.07515475,9.42589490,19.17836722,56.58047091,0.94982141,0.41362017,0.61899114,1.82928804,0.00000000,10.90268975,1,1
66,156.93395514,0.32763306,10.61027272,23.58268783,1.45912991,2.07515475,10.31054717,18.44597299,56.58047091,0.91181324,0.41098105,0.71825829,2.01298302,0.84229439,0.00000000,1,0
67,156.92772094,0.32781151,10.61379965,23.07165985,1.46100501,2.07479424,9.35894422,18.44597299,56.16517571,0.91066277,0.40554275,1.38347921,0.00000000,1.76622515,0.00000000,0,0
68,156.87328959,0.29768679,10.30337280,23.09460345,1.58718934,2.06451335,9.06036560,19.17462888,33.68996744,0.97084511,0.11396742,0.59078997,1.83996571,0.85766325,0.00000000,1,0
69,158.39393139,0.32633164,10.61000991,23.58149139,1.45400961,2.89774675,9.38787012,18.44806737,66.17331899,0.91181324,0.40615151,0.61418717,1.85333129,0.00000000,0.00000000,1,1
70,158.38417999,0.32633164,10.61027703,23.58149139,1.45408043,2.89774675,9.38787012,18.44806737,56.49812594,0.91181324,0.41128098,1.39660805,0.00000000,1.05772459,0.00000000,0,0
